article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
XI-E,Non-Capture Safeguards,agency/participation,core_06-06_rights_part_b.md,1534,4.2; 10; 11.1; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_06-06_rights_part_a.md](core_06-06_rights_part_a.md; core_06-06_rights_part_c.md](core_06-06_rights_part_c.md,complete
XII,Right to Reliable and Trustworthy Systems,systems/trust/audit,core_06-06_rights_part_c.md,32,,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Avoidable Burden; Dependency / Resource Flow; Trustworthiness; Timely Resolution,Article III-A; Article XII; Article XII-B; Article XV; Chapter Seven; core_00_preamble.md; core_05defs_continuity.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,weak_trace
XII-A,Reliability and Trustworthiness Baseline,systems/trust/audit,core_06-06_rights_part_c.md,71,4.1; 4.2; 5; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10.2,,flourishing; continuity,,Trustworthiness,Article III-A; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_continuity.md,complete
XII-B,"Right to Challenge, Review, and Redress",systems/trust/audit,core_06-06_rights_part_c.md,98,4.1; 4.2; 6.3; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10.2,participation; accountability,continuity,material impact,Avoidable Burden; Accessibility; Trustworthiness; Timely Resolution,Article III-A; Article XXIV-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_08-08_standing_assessment.md; corpus_institutions.md,complete
XII-C,Prohibition of False Trust and Misleading Reliance,systems/trust/audit,core_06-06_rights_part_c.md,132,4.2; 5; 9.2; linked,3.2; 4; 6.2; 8; 10.2,oversight,continuity,,Trustworthiness,Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
XII-D,Incentive-Alignment Constraint,systems/trust/audit,core_06-06_rights_part_c.md,160,4.1; 5; 10; 10.2.3; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Trustworthiness; Timely Resolution,Article XII-B; Article XV; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_participation.md,complete
XII-E,High-Autonomy Systems and Tool-Mediated Process Integrity,systems/trust/audit,core_06-06_rights_part_c.md,200,4.2; 6.3; 10; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,,Avoidable Burden; Productive Capacity,Article XI-A; Article XXIII-B; Article XXIII-C; Article XXVI-D; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XII-F,Resilience and Self-Healing Baseline,systems/trust/audit,core_06-06_rights_part_c.md,234,4.1; 4.2; 5; 6.1.2; 11.1; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Trustworthiness; Timely Resolution,Article XII-B; Article XII-C; Article XII-E; Article XV; Article XV-A; Article XXI; Article XXI-B; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XIII,"Security, Intelligence, Force, and Autonomous Coercive Systems",systems/trust/audit,core_06-06_rights_part_c.md,279,,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Trustworthiness; Timely Resolution,Article IX-A; Article XII; Article XII-A; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; core_00_preamble.md; core_05defs_accountability.md,weak_trace
XIII-A,"Security, Intelligence, and Covert-Power Limits",systems/trust/audit,core_06-06_rights_part_c.md,315,4.1; 5.1; 6.3; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability,continuity,,Avoidable Burden; Timely Resolution,Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XIII-B,"Use of Force, Armed Conflict, and Military-Power Limits",systems/trust/audit,core_06-06_rights_part_c.md,404,4.1; 5.1; 6.3.1; 8.1.2; 8.16; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Substantive Fairness,Article I-A; Article I-D; Article V-A; Article V-D; Article VIII; Article XIII; Article XIII-A; Article XV; Article XVIII-C; Article XXIII; Article XXIII-B; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md,complete
XIII-C,Autonomous Lethal Systems and Autonomous Coercion Tools,systems/trust/audit,core_06-06_rights_part_c.md,461,4.1; 5; 6.3.1; 7.3.1; 8.1.1; 8.1.2; 8.16; linked,3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Avoidable Burden; Productive Capacity; Ecological Footprint; Trustworthiness,Article I-D; Article IX-A; Article V-H; Article XII-A; Article XII-E; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md; corpus_systems.md,complete
XIV,Info-Sphere Integrity,systems/trust/audit,core_06-06_rights_part_c.md,513,4.2; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Avoidable Burden; Ecological Footprint; Trustworthiness; Timely Resolution,Article XII; Article XIV; Article XV; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_oversight.md; core_05defs_participation.md; corpus_systems.md,manual_review
XIV-A,Info-Sphere Plurality and Anti-Monopoly,systems/trust/audit,core_06-06_rights_part_c.md,550,4.2; 5; 10.2.3; 11.1; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,,material impact,Productive Capacity,Article XV; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_oversight.md; corpus_systems.md,complete
XIV-B,"Transparency, Auditability, and Contestability",systems/trust/audit,core_06-06_rights_part_c.md,583,4.2; 9.2; 13; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,material impact,Productive Capacity; Ecological Footprint; Accessibility,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XIV-C,"Validation, Reporting, and Epistemic Stewardship",systems/trust/audit,core_06-06_rights_part_c.md,618,4.2; 9.2; 10.2; 11.1; linked,3.2; 6.2; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Accessibility,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XV,"Audit, Transparency, and Independent Verification",systems/trust/audit,core_06-06_rights_part_c.md,650,,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Avoidable Burden; Dependency / Resource Flow; Accessibility; Timely Resolution,Article XII-B; Article XIV; Article XV; Chapter Seven; core_00_preamble.md; core_05defs_continuity.md; core_05defs_oversight.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,weak_trace
XV-A,Auditability and Observable Evidence,systems/trust/audit,core_06-06_rights_part_c.md,694,4.2; 9.2; 13; linked,3.2; 6.2; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XV-B,Distributed Oversight and Anti-Monopoly Review,systems/trust/audit,core_06-06_rights_part_c.md,717,4.2; 10; 11.1; linked,3.2; 6.2; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
XV-C,Verification Accessibility,systems/trust/audit,core_06-06_rights_part_c.md,741,5; 10.1; 13; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Accessibility; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XVI,"System Lifecycle, Environments, and Reversibility",systems/trust/audit,core_06-06_rights_part_c.md,771,,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Avoidable Burden; Ecological Footprint; Dependency / Resource Flow; Proportionate Cross-System Support; Timely Resolution,Article XII-F; Article XV; Article XVI; Article XVII; core_00_preamble.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,weak_trace
XVI-A,Lifecycle Governance and Environment Separation,systems/trust/audit,core_06-06_rights_part_c.md,811,4.1; 11.1; 13; linked,3.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Ecological Footprint,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XVI-B,Progressive Deployment and Reversibility,systems/trust/audit,core_06-06_rights_part_c.md,843,4.1; 10.1; 11.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,continuity,material impact,Productive Capacity; Dependency / Resource Flow,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; corpus_systems.md,complete
XVI-C,Misclassification and Evasion Consequences,systems/trust/audit,core_06-06_rights_part_c.md,873,4.2; 11.1; 13; linked,3.2; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Productive Capacity,Article XIV; Article XV-A; Article XVIII-A; Article XXIII-A; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XVII,"Sandboxed Innovation, Experimentation, and Creative Freedom",systems/trust/audit,core_06-06_rights_part_c.md,898,,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Ecological Footprint; Dependency / Resource Flow; Educational Agency; Timely Resolution,Article XIV; Article XV; Article XVI; Article XVII; Article XVII-E; core_00_preamble.md; corpus_systems.md,weak_trace
XVII-A,Sandboxed Scope,systems/trust/audit,core_06-06_rights_part_c.md,921,4.1; 5; 11.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,material impact,Productive Capacity,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XVII-B,"Containment, Disclosure, and Opt-In",systems/trust/audit,core_06-06_rights_part_c.md,951,4.1; 5; 10.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation,continuity,material risk,Dependency / Resource Flow; Proportionate Cross-System Support,Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_participation.md,complete
XVII-C,Transition to Higher-Obligation Regimes,systems/trust/audit,core_06-06_rights_part_c.md,982,4.1; 11.1; 13; linked,3.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Timely Resolution,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
XVII-D,"Innovation Reward, Disclosure, and Anti-Enclosure",systems/trust/audit,core_06-06_rights_part_c.md,1008,4.2; 5; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Accessibility; Educational Agency; Timely Resolution,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; corpus_systems.md,complete
XVII-E,"Scientific Publication, Review, and Replication Integrity",systems/trust/audit,core_06-06_rights_part_c.md,1086,4.2; 9.2; 13; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight,,material impact,Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Educational Agency; Trustworthiness,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_oversight.md,complete
XVIII,Standing and Participation Status,standing/interpretation,core_06-06_rights_part_c.md,1137,8.1,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Avoidable Burden; Substantive Fairness; Timely Resolution,Article III-A; Article V-A; Article XI; Article XIX; Article XVIII; Article XXIV-C; Chapter Eight; Chapter One; core_00_preamble.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md,manual_review
XVIII-A,Standing Distinction,standing/interpretation,core_06-06_rights_part_c.md,1182,5; 13; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,material stake,Productive Capacity; Trustworthiness,Article V-A; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md,complete
XVIII-B,Contestability and Proportional Restriction Limits,standing/interpretation,core_06-06_rights_part_c.md,1223,5; 6.3; 10.1; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,continuity,,Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Trustworthiness; Timely Resolution,Article III-A; Article V; Article XII-B; Article XIV-B; Article XV; Article XXIII-B; Article XXIII-C; Article XXIV-C; Chapter Eight; Chapter Eleven; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; core_08-08_standing_assessment.md; core_09-09_standing_integration.md; core_11-11_forum.md,complete
XVIII-C,"Good Standing, Responsibility, and Continuous Audit",standing/interpretation,core_06-06_rights_part_c.md,1273,5; 8.1; 10; 11.1; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Productive Capacity; Substantive Fairness,Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md,complete
XVIII-D,"Movement, Migration, Refuge, and Non-Statelessness Routing",standing/interpretation,core_06-06_rights_part_c.md,1318,,3.1; 4; 5; 5.1; 6.1; 6.3; 7; 10; 10.2,accountability,,,Avoidable Burden,Article XIX; Article XIX-D; Article XXIII-B; Article XXIII-C; core_09-09_standing_integration.md,weak_trace
XIX,"Interoperability, Portability, Movement, Refuge, and Exit Integrity",standing/interpretation,core_06-06_rights_part_c.md,1339,8.20; 8.24,3.1; 5; 5.1; 6.1; 6.3; 7; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Avoidable Burden; Ecological Footprint; Dependency / Resource Flow; Timely Resolution,Article XIX; Article XIX-D; Article XVI; Article XVIII; Article XXIII-B; Article XXIV-C; Article XXVI; Chapter Five; Chapter One; core_00_preamble.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; core_09-09_standing_integration.md; corpus_institutions.md,manual_review
XIX-A,Portability Rights,standing/interpretation,core_06-06_rights_part_c.md,1380,5; 10.1; 11.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md,complete
XIX-B,Reciprocal Interoperability Boundaries,standing/interpretation,core_06-06_rights_part_c.md,1408,5; 10.1; 11.1; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 9; 9.2; 11; 12; 13,accountability,continuity,,Avoidable Burden; Productive Capacity; Dependency / Resource Flow,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md,complete
XIX-C,Anti-Lock-In Rule,standing/interpretation,core_06-06_rights_part_c.md,1432,5; 10; 11.1; linked,5; 5.1; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow,Chapter Five; Chapter One; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md,complete
XIX-D,"Movement, Migration, Refuge, and Non-Statelessness",standing/interpretation,core_06-06_rights_part_c.md,1461,4.1; 5; 5.1; 6.3.1; 8.1.1; 8.24; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Avoidable Burden; Productive Capacity; Substantive Fairness; Timely Resolution,Article V-A; Article V-B; Article XI; Article XVIII; Article XXIII-B; Article XXIII-C; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; core_09-09_standing_integration.md; corpus_institutions.md,complete
XX,Comprehensibility and Complexity Stewardship,standing/interpretation,core_06-06_rights_part_c.md,1534,3.4; 6.1.2; 9.2; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Accessibility; Timely Resolution,Article XX; Article XX-A; Article XX-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; corpus_systems.md,manual_review
XX-A,Proportional Comprehensibility Right,standing/interpretation,core_06-06_rights_part_c.md,1583,3.4; 4.2; 5; 6.1.2; 9.2; 11.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability,,material impact,Avoidable Burden; Productive Capacity; Accessibility,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XX-B,Complexity Audit and Modularity Requirements,standing/interpretation,core_06-06_rights_part_c.md,1612,4.1; 11.1; 13; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Productive Capacity; Dependency / Resource Flow,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
XXI,Root Cause Analysis and Adaptive Response,standing/interpretation,core_06-06_rights_part_c.md,1647,4.1; 4.2; 10.1; 11.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Timely Resolution,Article XII-B; Article XV; Article XV-A; Article XVI; Article XXI; Article XXI-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,manual_review
XXI-A,Diagnostic Rigor and Causal Attribution,standing/interpretation,core_06-06_rights_part_c.md,1692,4.1; 4.2; 11.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Productive Capacity,Article XII-B; Article XIV; Article XV; Article XV-A; Article XXI; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md,complete
XXI-B,"Auditability, Challenge, and Reversibility Preference",standing/interpretation,core_06-06_rights_part_c.md,1722,4.1; 10.1; 11.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,,Productive Capacity; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md,complete
XXII,"Constitutional Interpretation, Review, and Anti-Capture Safeguards",standing/interpretation,core_06-06_rights_part_c.md,1753,4.2; 6.3; 10; 13; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Productive Capacity; Dependency / Resource Flow,Article XII-B; Article XXII; Article XXII-D; Article XXIII; Article XXV-A; Chapter Eleven; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_oversight.md; core_06-06_rights_part_d.md; core_11-11_forum.md; corpus_institutions.md,manual_review
XXII-A,Bounded Interpretive Mandate,standing/interpretation,core_06-06_rights_part_c.md,1797,6.3; 7; 13; linked,6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,,,Avoidable Burden; Productive Capacity,Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_integrative.md,complete
XXII-B,"Composition, Rotation, and Conflict Controls",standing/interpretation,core_06-06_rights_part_c.md,1830,6.3; 10; 13; linked,3.2; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity,Chapter Eight; Chapter Eleven; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; core_08-08_standing_assessment.md; core_10-10_misconduct.md; core_11-11_forum.md; corpus_institutions.md,complete
XXII-C,"Public Reasons, Challenge Rights, and External Review",standing/interpretation,core_06-06_rights_part_c.md,1864,4.2; 6.3; 13; linked,3.2; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Avoidable Burden; Productive Capacity; Accessibility,Chapter Eleven; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md; core_11-11_forum.md,complete
XXII-D,Removal for Cause and Non-Entrenchment,standing/interpretation,core_06-06_rights_part_c.md,1905,6.3; 10; 13; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity,Article XXV-A; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; core_06-06_rights_part_b.md](core_06-06_rights_part_b.md; core_06-06_rights_part_d.md; core_06-06_rights_part_d.md](core_06-06_rights_part_d.md,complete
XXIII,"Conflict Resolution, Escalation, and Emergency Proportionality",justice/emergency/transition,core_06-06_rights_part_d.md,32,,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Avoidable Burden; Timely Resolution,Article XII-B; Article XXIII; Article XXIV-C; Chapter Eleven; Chapter Five; core_00_preamble.md; core_05defs_accountability.md; core_05defs_integrative.md; core_05defs_oversight.md; core_05defs_participation.md; core_06-06_rights_part_c.md; core_11-11_forum.md,weak_trace
XXIII-A,Justice Objective and Scope,justice/emergency/transition,core_06-06_rights_part_d.md,63,4.1; 6.3; 13; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,accountability,,,Productive Capacity,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md,complete
XXIII-B,"Non-Trivial Restriction, Restitution, and Restorative-Accountability Constraints",justice/emergency/transition,core_06-06_rights_part_d.md,91,4.1; 6.3; 10.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,accountability,continuity,,Avoidable Burden,Article VII-E; Article XXIII-C; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_10-10_misconduct.md,complete
XXIII-C,Least-Restrictive and Time-Bounded Rule,justice/emergency/transition,core_06-06_rights_part_d.md,135,6.3; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,accountability,continuity,,Avoidable Burden; Substantive Fairness; Timely Resolution,Article V; Article XXIII-B; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md,complete
