article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
IX-A,Agency and Freedom from Manipulation,agency/participation,core_06-06_rights_part_b.md,1087,5; 5.1; 10; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity,Article IX-B; Article VII-A; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md,complete
IX-B,Stakeholder Role and Participation Rights,agency/participation,core_06-06_rights_part_b.md,1118,5; 6.3; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10.2; 11; 12; 13,participation; accountability,,material impact,Survival-floor access; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05i_integrative_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
IX-C,Governance Participation and Voting Entitlement,agency/participation,core_06-06_rights_part_b.md,1163,5; 6.3; 8.1; 15; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Substantive Fairness,Article V-B; Article XVIII-A; Article XVIII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
IX-D,Inclusion and Exclusion Challenge Rights,agency/participation,core_06-06_rights_part_b.md,1194,5; 6.3; 15; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,material impact,Productive Capacity; Market Structure / Contestability,Article XVIII; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
X,Cooperative Interaction,agency/participation,core_06-06_rights_part_b.md,1222,2; 3.1; 5; 6; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Incentive Alignment / Proxy Integrity,Article X; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,manual_review
X-A,Non-Imposition and Consent in Association,agency/participation,core_06-06_rights_part_b.md,1261,5; 5.1; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; accountability,,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Dependency / Resource Flow; Educational Agency; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Article V-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
X-B,Collective Harm Boundary and Enforcement Interface,agency/participation,core_06-06_rights_part_b.md,1299,4.1; 5.1; 9; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability,continuity,materiality; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Market Structure / Contestability,Article I-A; Article III-A; Article III-B; Article III-D; Article IX-A; Article V-A; Article V-B; Article X-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,complete
X-C,Adult consensual commercial sexual services and sexual exploitation,agency/participation,core_06-06_rights_part_b.md,1343,4.1; 6.3; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation,,materiality,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Truth / Epistemic Integrity,Article V-B; Article V-C; Article X-C; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05p_participation_definitions.md; corpus_institutions.md; corpus_systems.md,complete
XI,"Stakeholder System Participation, Representation, and Due Process",agency/participation,core_06-06_rights_part_b.md,1402,8.1,3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Avoidable Burden; Dependency / Resource Flow; Accessibility,Article IX-B; Article IX-C; Article IX-D; Article XI; Article XVIII; Chapter Five; Chapter One; core_00_preamble.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,manual_review
XI-A,Stakeholder System Participation and Representation,agency/participation,core_06-06_rights_part_b.md,1442,4.2; 5; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; accountability,,material stake,Safety / Harm / Risk; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XI-B,Weighted Participation Constraints,agency/participation,core_06-06_rights_part_b.md,1473,5; 8.1; 10; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Article IX-C; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XI-C,Legitimacy Gate and Anti-Token Participation,agency/participation,core_06-06_rights_part_b.md,1505,4.2; 5; 15; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
XI-D,"Internal Roles, Accountability, and Due-Process Requirements",agency/participation,core_06-06_rights_part_b.md,1535,4.2; 6.3; 10; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; corpus_institutions.md,complete
XI-E,Non-Capture Safeguards,agency/participation,core_06-06_rights_part_b.md,1573,4.2; 10; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_06-06_rights_part_a.md](core_06-06_rights_part_a.md; core_06-06_rights_part_c.md](core_06-06_rights_part_c.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XII,Right to Reliable and Trustworthy Systems,systems/trust/audit,core_06-06_rights_part_c.md,32,2; 3.1; 4; 6; 11; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Article III-A; Article XII; Article XII-B; Article XV; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,manual_review
XII-A,Reliability and Trustworthiness Baseline,systems/trust/audit,core_06-06_rights_part_c.md,78,4.1; 4.2; 5; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10.2,,flourishing; continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Trustworthiness,Article III-A; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05c_continuity_definitions.md,complete
XII-B,"Right to Challenge, Review, and Redress",systems/trust/audit,core_06-06_rights_part_c.md,105,4.1; 4.2; 6.3; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10.2,participation; accountability,continuity,material impact,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Accessibility; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Article III-A; Article XXIV-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_08-08_standing_assessment.md; corpus_institutions.md,complete
XII-C,Prohibition of False Trust and Misleading Reliance,systems/trust/audit,core_06-06_rights_part_c.md,139,4.2; 5; 9.2; linked,3.2; 4; 6.2; 7; 8; 10.2,oversight,continuity,,Truth / Epistemic Integrity; Trustworthiness,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md,complete
XII-D,Incentive-Alignment Constraint,systems/trust/audit,core_06-06_rights_part_c.md,167,4.1; 5; 10; 11.5; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Article XII-B; Article XV; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05p_participation_definitions.md,complete
XII-E,High-Autonomy Systems and Tool-Mediated Process Integrity,systems/trust/audit,core_06-06_rights_part_c.md,207,4.2; 6.3; 10; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,,Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Market Structure / Contestability,Article XI-A; Article XXIII-B; Article XXIII-C; Article XXVI-D; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,complete
XII-F,Resilience and Self-Healing Baseline,systems/trust/audit,core_06-06_rights_part_c.md,241,4.1; 4.2; 5; 6.1.2; 6.1.3; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Market Structure / Contestability; Timely Resolution,Article XII-B; Article XII-C; Article XII-E; Article XV; Article XV-A; Article XXI; Article XXI-B; Article XXVI; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XIII,"Security, Intelligence, Force, and Autonomous Coercive Systems",systems/trust/audit,core_06-06_rights_part_c.md,286,2; 3.1; 4; 5; 10; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Trustworthiness; Market Structure / Contestability; Timely Resolution,Article IX-A; Article XII; Article XII-A; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md,manual_review
XIII-A,"Security, Intelligence, and Covert-Power Limits",systems/trust/audit,core_06-06_rights_part_c.md,329,4.1; 5.1; 6.3; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Timely Resolution,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; corpus_systems.md,complete
XIII-B,"Use of Force, Armed Conflict, and Military-Power Limits",systems/trust/audit,core_06-06_rights_part_c.md,418,4.1; 5.1; 6.3.1; 8.1.2; 8.16; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Substantive Fairness; Truth / Epistemic Integrity; Privacy / Data Stewardship,Article I-A; Article I-D; Article V-A; Article V-D; Article VIII; Article XIII; Article XIII-A; Article XV; Article XVIII-C; Article XXIII; Article XXIII-B; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md,complete
XIII-C,Autonomous Lethal Systems and Autonomous Coercion Tools,systems/trust/audit,core_06-06_rights_part_c.md,475,4.1; 5; 6.3.1; 7.3.1; 8.1.1; 8.1.2; 8.16; linked,3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Truth / Epistemic Integrity; Trustworthiness,Article I-D; Article IX-A; Article V-H; Article XII-A; Article XII-E; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
XIV,Info-Sphere Integrity,systems/trust/audit,core_06-06_rights_part_c.md,527,4.2; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Article XII; Article XIV; Article XV; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,manual_review
XIV-A,Info-Sphere Plurality and Anti-Monopoly,systems/trust/audit,core_06-06_rights_part_c.md,564,4.2; 5; 11.5; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,oversight,,material impact,Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Market Structure / Contestability,Article XV; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XIV-B,"Transparency, Auditability, and Contestability",systems/trust/audit,core_06-06_rights_part_c.md,597,4.2; 9.2; 15; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,material impact,Productive Capacity; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,complete
XIV-C,"Validation, Reporting, and Epistemic Stewardship",systems/trust/audit,core_06-06_rights_part_c.md,632,4.2; 9.2; 11; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Avoidable Burden; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity,Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XV,"Audit, Transparency, and Independent Verification",systems/trust/audit,core_06-06_rights_part_c.md,664,3.1; 3.2; 6; 9.2; 12; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Article XII-B; Article XIV; Article XV; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,manual_review
XV-A,Auditability and Observable Evidence,systems/trust/audit,core_06-06_rights_part_c.md,715,4.2; 9.2; 15; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Truth / Epistemic Integrity,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,complete
XV-B,Distributed Oversight and Anti-Monopoly Review,systems/trust/audit,core_06-06_rights_part_c.md,738,4.2; 10; linked,3.2; 6.2; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XV-C,Verification Accessibility,systems/trust/audit,core_06-06_rights_part_c.md,762,5; 10.1; 15; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md,complete
XVI,"System Lifecycle, Environments, and Reversibility",systems/trust/audit,core_06-06_rights_part_c.md,792,3.1; 5; 6; 9; 14; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability; Timely Resolution,Article XII-F; Article XV; Article XVI; Article XVII; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; corpus_systems.md,manual_review
XVI-A,Lifecycle Governance and Environment Separation,systems/trust/audit,core_06-06_rights_part_c.md,839,4.1; 15; linked,3.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Privacy / Data Stewardship,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XVI-B,Progressive Deployment and Reversibility,systems/trust/audit,core_06-06_rights_part_c.md,871,4.1; 10.1; linked,3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,accountability,continuity,material impact,Safety / Harm / Risk; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XVI-C,Misclassification and Evasion Consequences,systems/trust/audit,core_06-06_rights_part_c.md,901,4.2; 15; linked,3.2; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Truth / Epistemic Integrity; Privacy / Data Stewardship,Article XIV; Article XV-A; Article XVIII-A; Article XXIII-A; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XVII,"Sandboxed Innovation, Experimentation, and Creative Freedom",systems/trust/audit,core_06-06_rights_part_c.md,926,3.1; 5; 6; 11; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity; Timely Resolution,Article XIV; Article XV; Article XVI; Article XVII; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; corpus_systems.md,manual_review
XVII-A,Sandboxed Scope,systems/trust/audit,core_06-06_rights_part_c.md,956,4.1; 5; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 10; 10.2,oversight,continuity,material impact,Safety / Harm / Risk; Resilience / Systemic Risk,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
XVII-B,"Containment, Disclosure, and Opt-In",systems/trust/audit,core_06-06_rights_part_c.md,986,4.1; 5; 10.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation,continuity,material risk,Safety / Harm / Risk; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md,complete
XVII-C,Transition to Higher-Obligation Regimes,systems/trust/audit,core_06-06_rights_part_c.md,1017,4.1; 15; linked,3.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,oversight,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Privacy / Data Stewardship; Timely Resolution,Article XVI-A; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
XVII-D,"Innovation Reward, Disclosure, and Anti-Enclosure",systems/trust/audit,core_06-06_rights_part_c.md,1043,4.2; 5; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Accessibility; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Timely Resolution,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; corpus_systems.md,complete
XVII-E,"Scientific Publication, Review, and Replication Integrity",systems/trust/audit,core_06-06_rights_part_c.md,1121,4.2; 9.2; 15; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight,,material impact,Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness; Market Structure / Contestability,Article XVI-A; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05o_oversight_definitions.md,complete
