layer,capability,audience,obligation,analog_ok,core_home,impl_owner,existing_schema,status,cite,notes
in-scope,Contest post-sale access or subscription cutoffs,ordinary sentient; party,must,mixed,Portability,Art. II-D,,Inferred,core_06_rights_part_a.md#article-ii-d-post-sale-access-and-subscription-integrity,Function required; named challenge entry is Article XII-B plus CJS-3.17/CI-8.3 when the cutoff is digital self-service.
in-scope,Contest occupancy or eviction with meaningful notice,ordinary sentient; party,must,yes,Occupancy Continuity,Ch.5 occupancy,,Explicit,core_05_band_continuity.md#occupancy-continuity-constitutional,Notice plus real chance to contest before eviction.
in-scope,Opt in to elevated-risk experiment; receive sandbox disclosure; rollback,ordinary sentient; party,must,yes,System Alignment Certification (sandbox),Art. XVII-B; CS-5 §2,,Explicit,core_06_rights_part_c.md#article-xvii-b-containment-disclosure-and-opt-in,Genuine opt-in; practicable rollback.
in-scope,Use accessibility accommodations in participation domains,ordinary sentient,must,mixed,Accessibility,Art. V-G; CF-11; CJS-3.8,,Inferred,core_06_rights_part_b.md#article-v-g-accessibility,"Real participation capacity. Surface is whatever channel the domain uses, with parity — not a separate product."
in-scope,View published domain taxonomy and scarce-capacity priority rules,public; party,should,yes,System Classification Record,CS-3 §6,,Explicit,corpus_systems/cs_03_a_system_classification_machinery.md#61-published-domain-taxonomy-for-regulatory-mapping; corpus_systems/cs_03_a_system_classification_machinery.md#cs-3-6-domain-taxonomy-ordinary-examples-and-scarce-capacity-handling,Does not replace class analysis.
in-scope,Restore notice and challenge after emergency containment,party,must,yes,Emergency and Contingency,Art. XXIII-D; Ch.11 §6,,Explicit,core_06_rights_part_d.md#xxiii-d-restore-challenge-clocks,Contain now; restore notice/challenge on tier clocks.
in-scope,Receive due-process notice and hearing on material internal decisions,ordinary sentient; party,must,yes,Contestability,Art. XI-D,,Explicit,core_06_rights_part_b.md#article-xi-d-internal-roles-accountability-and-due-process-requirements,"Notice, chance to be heard, impartial decision, contest path."
in-scope,Enter association by informed consent; revoke participation,ordinary sentient,must,yes,Consent,Art. X-A,,Explicit,core_06_rights_part_b.md#article-x-a-non-imposition-and-consent-in-association,Transparent auditable terms.
const-op,Record dissent and alternatives at the legitimacy gate,party; steward; public,class-scaled-must,yes,Governance,Art. XI-C; Ch.12 §4.2,,Explicit,core_06_rights_part_b.md#article-xi-c-legitimacy-gate-and-anti-token-participation,High-impact binding only after recorded participation/dissent/alternative checks.
process-support,Machine-validate CS-4 inspectable-action logs,implementer; steward,nice-to-have,no,Attributable Action,process-support,implementation/schemas/cs4_inspectable_action_log.schema.json,Process-support,implementation/schemas/cs4_inspectable_action_log.schema.json; tools/cs4_inspectable_action_log_validate.py,"Validating form of CS-4 §10. Cannot narrow CS-4. Binding surface is the five-element set, not the JSON."
process-support,Machine-validate Sentience-Status Adjudication Record shape,implementer; forum participant,nice-to-have,no,Sentience-Status Adjudication Record,process-support,implementation/schemas/sentience_status_adjudication_record.schema.json,Process-support,implementation/schemas/sentience_status_adjudication_record.schema.json; corpus_forum/cf_sentience_status_record.md,Format aid. Who-counts remains Art. V-E / Def.P1.
process-support,Machine-validate Chapter Eight measurement snapshot,implementer; steward,nice-to-have,no,Standing Record,process-support,implementation/schemas/ch06_assessment.schema.json,Process-support,implementation/schemas/ch06_assessment.schema.json,Logical snapshot aid. Semantic meaning stays in Chapters Eight and Nine. Optional under Ch.8 §3.5.
process-support,Steward owner/clock index and entry-door pointer index,steward,nice-to-have,yes,Governance,process-support,implementation/schemas/steward_owner_clock_index.schema.json,Process-support,implementation/STEWARD_ENTRY_DOORS.md; implementation/schemas/steward_owner_clock_index.schema.json,Pointer index. Cannot loosen core boxes.
process-support,Continuity and resilience evidence dashboard stub,steward; operator,nice-to-have,yes,Emergency and Contingency,process-support,,Process-support,implementation/CONTINUITY_RESILIENCE_DASHBOARD.md,Living stub to list drills. Not a CS-12 duty and not a required public product.
process-support,"System card, model card, monitoring cadence, incident bundle templates",steward; auditor,nice-to-have,yes,System Certification Record,process-support,,Process-support,implementation/SYSTEMS_IMPLEMENTATION_TEMPLATES_2026-04-13.md,Packaging aid for artifacts the corpus already requires in substance. Not new duties.
process-support,Minimum-viable adopter body inventory (not software),steward; adopter,nice-to-have,yes,Governance,process-support,,Process-support,implementation/adoption/MINIMUM_VIABLE_ADOPTER.md,"Bodies, staff, funding. Twin of this audit; does not inventory user-reachable surfaces."
both,Unified subject-access surface for everything held about a sentient,ordinary sentient,should,mixed,Privacy (Informational); Standing Record; Identity Data Protection,CS-2; Ch.8; Art. VIII-B,,Inferred,corpus_systems/cs_02_a_information_types_and_handling.md#11-identity-self-ownership-and-recoverability; core_08_standing_assessment.md#31-minimum-record-contents; core_06_rights_part_b.md#article-viii-b-experiential-and-derived-data-rights,"Pieces exist separately (identity control, standing inspect-if-open, experiential-data rights). No single named one-stop surface. Not a taxonomy hole; an integrator convenience. Do not use it to defeat Chapter Eight silence default."
