article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
VIII,"Likeness, Experiential Data, and Publication Rights",equality/access,core_06_rights_part_b.md,860,3.1; 3.2; 5; 6; 10; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity,,,Article VII; Article VIII; Article XIV; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md,complete
VIII-A,Self-Ownership of Likeness and Reputation,equality/access,core_06_rights_part_b.md,890,3.2; 5; 6.2; linked,3.2; 5; 5.1; 6.2; 7; 8; 10; 10.1,oversight; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Contestability; Good Faith; Privacy (Informational); Truth (Constitutional Constraint),,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; corpus_systems.md,complete
VIII-B,Experiential and Derived Data Rights,equality/access,core_06_rights_part_b.md,929,5; 6.1.5; 6.2; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship,Consent; Privacy (Informational); Protected Internal-State Boundary,,Article VIII-C; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_systems.md,complete
VIII-C,Truthful Publication and High-Impact Publication Limits,equality/access,core_06_rights_part_b.md,975,3.2; 6.2; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,oversight; accountability,continuity,,Safety / Harm / Risk; Resilience / Systemic Risk; Truth / Epistemic Integrity; Privacy / Data Stewardship,Epistemic Integrity; Good Faith; Privacy (Informational); Truth (Constitutional Constraint),,Article VIII-A; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
VIII-D,"Creative Work, Training-Data Use, and Anti-Displacement",equality/access,core_06_rights_part_b.md,1020,3.2; 5; 6.3; 10; 12.1; 13; 13.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,"**Def.C1** *Labor and Economic Floor: Compensation, Organization, Safe Conditions, Leisure, and Creative Work*; **Def.C3** (*Privacy (Informational)*); Anti-Displacement Floor; Consent; Creative Work Attribution; Fair Compensation; Good Faith; Innovation Reward and Anti-Enclosure; Productive Capacity; Sentience Non-Exclusion; Training-Data Use",,Article III-D; Article VIII-A; Article VIII-B; Article VIII-C; Article VIII-D; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
IX,Self-Determination and Agency,agency/participation,core_06_rights_part_b.md,1074,3.1; 5; 6; 11; 13; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Epistemic Integrity; Safety (Constraint); Self-Determination; Surveillance Boundary,,Article IX; Article VII; Article XI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
IX-A,Agency and Freedom from Manipulation,agency/participation,core_06_rights_part_b.md,1115,5; 5.1; 10; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity,Coercion and Manipulation; Meaningful Agency; Self-Determination; Surveillance Boundary,,Article IX-B; Article VII-A; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md,complete
IX-B,Stakeholder Role and Participation Rights,agency/participation,core_06_rights_part_b.md,1146,5; 6.1.5; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,participation; accountability,,material impact,Survival-floor access; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Business Creation; Competency Bar; Constitutional Constraints; Participant Standing; Procedural Fairness; Stakeholder; Stakeholder Status and Weight; Stakeholder Weight; Standing Lock; System Creation,,Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_integrative.md; core_05_band_participation.md; core_07_a_system_alignment_certification_evaluation.md,complete
IX-C,Governance Participation and Voting Entitlement,agency/participation,core_06_rights_part_b.md,1191,5; 6.1.5; 15; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,,Productive Capacity; Substantive Fairness,Governance; Participant Standing; Stakeholder Weight; Standing Lock,,Article V-B; Article XVIII-A; Article XVIII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md; core_09_standing_integration.md; core_12_governance.md,complete
IX-D,Inclusion and Exclusion Challenge Rights,agency/participation,core_06_rights_part_b.md,1223,5; 6.1.5; 15; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,material impact,Productive Capacity; Market Structure / Contestability,Contestability; Procedural Fairness; Stakeholder,,Article XVIII; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md; corpus_systems.md,complete
X,Cooperative Interaction,agency/participation,core_06_rights_part_b.md,1251,2; 3.1; 5; 6; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Incentive Alignment / Proxy Integrity,Constitutional Community; Non-Imposition (Cooperative Interaction); Restorative Justice,,Article X; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md,complete
X-A,Non-Imposition and Consent in Association,agency/participation,core_06_rights_part_b.md,1290,5; 5.1; 6.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Dependency / Resource Flow; Educational Agency; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Consent; Harassment and Bullying; Meaningful Agency; Non-Imposition (Cooperative Interaction),,Article V-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md,complete
X-B,Collective Harm Boundary and Enforcement Interface,agency/participation,core_06_rights_part_b.md,1328,3.1; 5.1; 6.1; 13; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability,continuity,materiality; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Market Structure / Contestability,Collective Harm Boundary; Dependency; Harassment and Bullying; Harm; Materiality Determination; Non-Imposition (Cooperative Interaction); Safe Conditions,,Article I-A; Article III-A; Article III-B; Article III-D; Article IX-A; Article V-A; Article V-B; Article X-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
X-C,Adult consensual commercial sexual services and sexual exploitation,agency/participation,core_06_rights_part_b.md,1372,3.1; 6.1; 6.1.5; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,participation,,materiality,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Truth / Epistemic Integrity,"Consent; Consent, Sexual; Protected Characteristics; Substantive Fairness",,Article V-B; Article V-C; Article X-C; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_participation.md; corpus_institutions.md; corpus_systems.md,complete
XI,"Stakeholder System Participation, Representation, and Due Process",agency/participation,core_06_rights_part_b.md,1431,5; 8.1; 10; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Accessibility,Dependency; Due Process; Foundational Constitutional Choice; Governance; Material Impact; Procedural Fairness; Proportionality; Stakeholder; Stakeholder Weight,,Article IX-B; Article IX-C; Article IX-D; Article XI; Article XVIII; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_oversight.md; core_05_band_participation.md; core_12_governance.md,complete
XI-A,Stakeholder System Participation and Representation,agency/participation,core_06_rights_part_b.md,1478,3.2; 5; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,,material stake,Safety / Harm / Risk; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Procedural Fairness; Stakeholder,,Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md; core_07_a_system_alignment_certification_evaluation.md,complete
XI-B,Weighted Participation Constraints,agency/participation,core_06_rights_part_b.md,1510,5; 10; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Contestability; Foundational Constitutional Choice; Governance; Stakeholder Weight; System Capture,,Article IX-C; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md; core_07_a_system_alignment_certification_evaluation.md; core_12_governance.md,complete
XI-C,Legitimacy Gate and Anti-Token Participation,agency/participation,core_06_rights_part_b.md,1542,3.2; 5; 15; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Procedural Fairness,,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md,complete
XI-D,"Internal Roles, Accountability, and Due-Process Requirements",agency/participation,core_06_rights_part_b.md,1572,3.2; 6.1.5; 10; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Due Process; Meaningful Agency; Procedural Fairness,,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md,complete
XI-E,Non-Capture Safeguards,agency/participation,core_06_rights_part_b.md,1610,3.2; 10; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Auditability; Contestability; System Capture,,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_06_rights_part_a.md](core_06_rights_part_a.md; core_06_rights_part_c.md](core_06_rights_part_c.md; core_07_a_system_alignment_certification_evaluation.md,complete
XII,Right to Reliable and Trustworthy Systems,systems/trust/audit,core_06_rights_part_c.md,28,2; 3.1; 4; 6; 11; linked,2; 3.1; 3.2; 4; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Dependency; System Alignment Certification; Trust; Trustworthiness; Wellbeing,,Article III-A; Article XII; Article XII-B; Article XV; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_07_a_system_alignment_certification_evaluation.md,complete
XII-A,Reliability and Trustworthiness Baseline,systems/trust/audit,core_06_rights_part_c.md,74,3.1; 3.2; 4; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,,flourishing; continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Trustworthiness,Risk; System Alignment Certification; Trust; Trustworthiness,,Article III-A; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05_band_continuity.md,complete
XII-B,"Right to Challenge, Review, and Redress",systems/trust/audit,core_06_rights_part_c.md,101,3.1; 3.2; 6.1.5; linked,2; 3.1; 3.2; 4; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,continuity,material impact,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Good Faith; Protected Reporting (Whistleblowing); Redress and Remediation; Remedy System; System Alignment Certification; Timely Resolution,,Article III-A; Article XII-B; Article XXIV-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_09_standing_integration.md; corpus_institutions.md,complete
XII-C,Prohibition of False Trust and Misleading Reliance,systems/trust/audit,core_06_rights_part_c.md,140,3.2; 4; 6.2; linked,3.2; 4; 6.2; 7; 8,oversight,continuity,,Truth / Epistemic Integrity; Trustworthiness,Trust; Trustworthiness; Truth (Constitutional Constraint),,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md,complete
XII-D,Incentive-Alignment Constraint,systems/trust/audit,core_06_rights_part_c.md,168,3.1; 4; 10; 11.5; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Productive Capacity; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Incentive Alignment; Meaningful Agency; Trustworthiness,,Article XII-B; Article XV; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md,complete
XII-E,High-Autonomy Systems and Tool-Mediated Process Integrity,systems/trust/audit,core_06_rights_part_c.md,208,3.2; 6.1.5; 10; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Market Structure / Contestability,Contestability; Irreversible Deprivation Measure; Necessity; Truth (Constitutional Constraint),,Article V-E; Article XI-A; Article XXIII-B; Article XXIII-C; Article XXVI-A; Article XXVI-D; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XII-F,Resilience and Self-Healing Baseline,systems/trust/audit,core_06_rights_part_c.md,243,3.1; 3.2; 4; 6.3; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Market Structure / Contestability; Timely Resolution,**Self-Healing**; Auditability; Avoidable Burden; Cascading Failure; Contestability; Reversibility; Self-Healing,,Article XII-B; Article XII-C; Article XII-E; Article XV; Article XV-A; Article XXI; Article XXI-B; Article XXVI; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XIII,"Security, Intelligence, Force, and Autonomous Coercive Systems",systems/trust/audit,core_06_rights_part_c.md,288,2; 3.1; 4; 5; 10; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Trustworthiness; Market Structure / Contestability; Timely Resolution,Irreversible Deprivation Measure; Necessity; Proportionality; Use of Force,,Article IX-A; Article XII; Article XII-A; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md,complete
XIII-A,"Security, Intelligence, and Covert-Power Limits",systems/trust/audit,core_06_rights_part_c.md,331,3.1; 5.1; 6.1.5; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Timely Resolution,Evidence Preservation; Necessity; Proportionality; Protected Internal-State Boundary,,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; corpus_systems.md,complete
XIII-B,"Use of Force, Armed Conflict, and Military-Power Limits",systems/trust/audit,core_06_rights_part_c.md,420,3.1; 5.1; 6.1.1; 6.1.5; 7; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Substantive Fairness; Truth / Epistemic Integrity; Privacy / Data Stewardship,"**Def.A4** *Use of Force, Autonomous Coercion, Autonomous Lethal Systems, and Weapons of Mass Harm*; Combatant / Non-Combatant Distinction; Irreversible Deprivation Measure; Use of Force; Weapons of Mass Harm",,Article I-A; Article I-D; Article V-A; Article V-D; Article VIII; Article XIII; Article XIII-A; Article XV; Article XVIII-C; Article XXIII; Article XXIII-B; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md,complete
XIII-C,Autonomous Lethal Systems and Autonomous Coercion Tools,systems/trust/audit,core_06_rights_part_c.md,477,3.1; 4; 6.1.1; 6.1.3; 7; 11.1; linked,3.1; 4; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Truth / Epistemic Integrity; Trustworthiness,"**Def.A4** *Use of Force, Autonomous Coercion, Autonomous Lethal Systems, and Weapons of Mass Harm*; Autonomous Coercion Tool; Autonomous Lethal System; Coercion and Manipulation; Irreversible Deprivation Measure",,Article I-D; Article IX-A; Article V-H; Article XII-A; Article XII-E; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md; corpus_systems.md,complete
XIV,Info-Sphere Integrity,systems/trust/audit,core_06_rights_part_c.md,529,3.2; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Contestability; Epistemic Integrity; Info-Sphere; Material Impact; Self-Determination,,Article XII; Article XIV; Article XV; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md; corpus_systems.md,complete
XIV-A,Info-Sphere Plurality and Anti-Monopoly,systems/trust/audit,core_06_rights_part_c.md,566,3.2; 4; 11.5; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,oversight,,material impact,Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Market Structure / Contestability,Auditability; Epistemic Integrity; Material Impact; Truth (Constitutional Constraint),,Article XV; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05_band_oversight.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XIV-B,"Transparency, Auditability, and Contestability",systems/trust/audit,core_06_rights_part_c.md,599,3.2; 6.2; 15; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,material impact,Productive Capacity; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Auditability; Contestability; Material Impact; Transparency,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XIV-C,"Validation, Reporting, and Epistemic Stewardship",systems/trust/audit,core_06_rights_part_c.md,634,3.2; 6.2; 11; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight,continuity,,Avoidable Burden; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity,Ecological Footprint; Transparency; Truth (Constitutional Constraint),,Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XV,"Audit, Transparency, and Independent Verification",systems/trust/audit,core_06_rights_part_c.md,666,3.1; 3.2; 6; 9.2; 12; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Auditability; Classification-Scaled Governance; Dependency; Materiality; Risk; System Alignment Certification; Transparency,CJS-3.3; CJS-3.4; CJS-3.5; cjs_03o_oversight_operations.md; cjs_03o_oversight_operations.md#cjs-34-audit-process-output-disclosure; cjs_03u_audit_process.md#cjs-33-audit-process-home,Article XII-B; Article XIV; Article XV; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_07_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XV-A,Auditability and Observable Evidence,systems/trust/audit,core_06_rights_part_c.md,747,3.2; 6.2; 15; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Truth / Epistemic Integrity,Accountability; Auditability; Transparency,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md,complete
XV-B,Distributed Oversight and Anti-Monopoly Review,systems/trust/audit,core_06_rights_part_c.md,770,3.2; 10; linked,3.2; 6.2; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Contestability; Oversight; System Capture,,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_oversight_leg.md; core_05_band_accountability.md; core_05_band_continuity.md; core_07_a_system_alignment_certification_evaluation.md,complete
XV-C,Verification Accessibility,systems/trust/audit,core_06_rights_part_c.md,794,5; 6.1; 15; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability; Timely Resolution,Auditability; Contestability; Proportionality,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
