article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
VII-E,Voluntary Discontinuation of One's Own Existence,equality/access,core_06_rights_part_b.md,898,5; 5.1; 6.1.3; linked,2; 3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 11; 12; 13,participation; accountability; timeliness,continuity,,Survival-floor access; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Dependency / Resource Flow; Timely Resolution,Coercion and Manipulation; Consent; Irreversible Deprivation Measure; Necessity; Procedural Fairness; Proportionality; Sentience Non-Exclusion; Voluntary Discontinuation,,Article III-A; Article III-C; Article IX-A; Article V-F; Article VII-A; Article VII-B; Article VII-C; Article X-A; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md,complete
VIII,"Likeness, Experiential Data, and Publication Rights",equality/access,core_06_rights_part_b.md,958,3.1; 3.2; 5; 6; 11; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity,,,Article VII; Article VIII; Article XIV; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md,complete
VIII-A,Self-Ownership of Likeness and Reputation,equality/access,core_06_rights_part_b.md,988,3.2; 5; 6.2; linked,3.2; 5; 5.1; 6.2; 7; 8; 10; 10.1,oversight; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Contestability; Good Faith; Privacy (Informational); Truth (Constitutional Constraint),,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; corpus_systems.md,complete
VIII-B,Experiential and Derived Data Rights,equality/access,core_06_rights_part_b.md,1027,5; 6.1.5; 6.2; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship,Consent; Privacy (Informational); Protected Internal-State Boundary,,Article VIII-C; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_systems.md,complete
VIII-C,Truthful Publication and High-Impact Publication Limits,equality/access,core_06_rights_part_b.md,1073,3.2; 6.2; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,oversight; accountability,continuity,,Safety / Harm / Risk; Resilience / Systemic Risk; Truth / Epistemic Integrity; Privacy / Data Stewardship,Epistemic Integrity; Good Faith; Privacy (Informational); Truth (Constitutional Constraint),,Article VIII-A; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
VIII-D,"Creative Work, Training-Data Use, and Anti-Displacement",equality/access,core_06_rights_part_b.md,1118,3.2; 5; 6.3; 11; 13.1; 14; 14.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,"**Def.C1** *Labor and Economic Floor: Compensation, Organization, Safe Conditions, Leisure, and Creative Work*; **Def.C3** (*Privacy (Informational)*); Anti-Displacement Floor; Consent; Creative Work Attribution; Fair Compensation; Good Faith; Innovation Reward and Anti-Enclosure; Productive Capacity; Sentience Non-Exclusion; Training-Data Use",,Article III-D; Article VIII-A; Article VIII-B; Article VIII-C; Article VIII-D; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
IX,Self-Determination and Agency,agency/participation,core_06_rights_part_b.md,1176,3.1; 5; 6; 12; 14; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Epistemic Integrity; Safety (Constraint); Self-Determination; Surveillance Boundary,,Article IX; Article VII; Article XI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
IX-A,Agency and Freedom from Manipulation,agency/participation,core_06_rights_part_b.md,1217,5; 5.1; 11; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation,continuity,,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Incentive Alignment / Proxy Integrity,Coercion and Manipulation; Meaningful Agency; Self-Determination; Surveillance Boundary,,Article IX-B; Article VII-A; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_participation.md,complete
IX-B,Stakeholder Role and Participation Rights,agency/participation,core_06_rights_part_b.md,1248,5; 6.1.5; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,participation; accountability,,material impact,Survival-floor access; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Business Creation; Competency Bar; Constitutional Constraints; Participant Standing; Procedural Fairness; Stakeholder; Stakeholder Status and Weight; Stakeholder Weight; Standing Lock; System Creation,,Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_integrative.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
IX-C,Governance Participation and Voting Entitlement,agency/participation,core_06_rights_part_b.md,1298,5; 6.1.5; 16; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,,Productive Capacity; Substantive Fairness,Foundational Constitutional Choice; Governance; Participant Standing; Stakeholder Weight; Standing Lock,,Article V-B; Article XVIII-A; Article XVIII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_integrative.md; core_05_band_participation.md; core_10_standing_integration.md; core_13_governance.md,complete
IX-D,Inclusion and Exclusion Challenge Rights,agency/participation,core_06_rights_part_b.md,1330,5; 6.1.5; 16; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,material impact,Productive Capacity; Market Structure / Contestability,Contestability; Procedural Fairness; Stakeholder,,Article XVIII; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md; corpus_systems.md,complete
X,Cooperative Interaction,agency/participation,core_06_rights_part_b.md,1366,2; 3.1; 5; 6; 11; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Incentive Alignment / Proxy Integrity,Constitutional Community; Non-Imposition (Cooperative Interaction); Restorative Justice,,Article X; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_participation.md,complete
X-A,Non-Imposition and Consent in Association,agency/participation,core_06_rights_part_b.md,1405,5; 5.1; 6.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Dependency / Resource Flow; Educational Agency; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Consent; Feasibility; Harassment and Bullying; Harm; Meaningful Agency; Necessity; Non-Imposition (Cooperative Interaction); Proportionality,,Article V-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md,complete
X-B,Collective Harm Boundary and Enforcement Interface,agency/participation,core_06_rights_part_b.md,1447,3.1; 5.1; 6.1; 14; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability,continuity,materiality; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Market Structure / Contestability,Collective Harm Boundary; Dependency; Harassment and Bullying; Harm; Material Impact; Materiality Determination; Non-Imposition (Cooperative Interaction); Safe Conditions,,Article I-A; Article III-A; Article III-B; Article III-D; Article IX-A; Article V-A; Article V-B; Article X-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
X-C,Adult consensual commercial sexual services and sexual exploitation,agency/participation,core_06_rights_part_b.md,1492,3.1; 6.1; 6.1.5; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,participation; accountability,,materiality,Safety / Harm / Risk; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Truth / Epistemic Integrity,"Consent; Consent, Sexual; Harm; Necessity; Proportionality; Protected Characteristics; Substantive Fairness",,Article V-B; Article V-C; Article X-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md; corpus_institutions.md; corpus_systems.md,complete
XI,"Stakeholder System Participation, Representation, and Due Process",agency/participation,core_06_rights_part_b.md,1554,5; 8.1; 11; linked,3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Accessibility,Constitutional Contract Layer; Dependency; Due Process; Foundational Constitutional Choice; Governance; Material Impact; Procedural Fairness; Proportionality; Stakeholder; Stakeholder Weight,,Article IX-B; Article IX-C; Article IX-D; Article XI; Article XVIII; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_oversight.md; core_05_band_participation.md; core_13_governance.md,complete
XI-A,Stakeholder System Participation and Representation,agency/participation,core_06_rights_part_b.md,1604,3.2; 5; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,,material stake,Safety / Harm / Risk; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Procedural Fairness; Stakeholder,,Chapter Eight; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
XI-B,Weighted Participation Constraints,agency/participation,core_06_rights_part_b.md,1636,5; 11; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Contestability; Foundational Constitutional Choice; Governance; Stakeholder Weight; System Capture,,Article IX-C; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; core_13_governance.md,complete
XI-C,Legitimacy Gate and Anti-Token Participation,agency/participation,core_06_rights_part_b.md,1668,3.2; 5; 16; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Procedural Fairness,,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md,complete
XI-D,"Internal Roles, Accountability, and Due-Process Requirements",agency/participation,core_06_rights_part_b.md,1698,3.2; 6.1.5; 11; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Accountability; Contestability; Due Process; Meaningful Agency; Procedural Fairness,,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_accountability.md; core_05_band_participation.md; core_12_forum.md,complete
XI-E,Non-Capture Safeguards,agency/participation,core_06_rights_part_b.md,1736,3.2; 11; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Anti-Capture; Auditability; Contestability; System Capture,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_06_rights_part_a.md](core_06_rights_part_a.md; core_06_rights_part_c.md](core_06_rights_part_c.md; core_08_a_system_alignment_certification_evaluation.md,complete
XII,Right to Reliable and Trustworthy Systems,systems/trust/audit,core_06_rights_part_c.md,98,2; 3.1; 4; 6; 12; linked,2; 3.1; 3.2; 4; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Dependency; System Alignment Certification; Trust; Trustworthiness; Wellbeing,,Article III-A; Article XII; Article XII-B; Article XV; Chapter Eight; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md,complete
XII-A,Reliability and Trustworthiness Baseline,systems/trust/audit,core_06_rights_part_c.md,144,3.1; 3.2; 4; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,,flourishing; continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Trustworthiness,Risk; System Alignment Certification; Trust; Trustworthiness,,Article III-A; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05_band_continuity.md,complete
XII-B,"Right to Challenge, Review, and Redress",systems/trust/audit,core_06_rights_part_c.md,171,3.1; 3.2; 6.1.5; linked,2; 3.1; 3.2; 4; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,continuity,material impact,Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Accessibility; Truth / Epistemic Integrity; Trustworthiness; Timely Resolution,Good Faith; Protected Reporting (Whistleblowing); Redress and Remediation; Remedy System; System Alignment Certification; Timely Resolution,,Article III-A; Article XII-B; Article XXIV-C; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_10_standing_integration.md; corpus_institutions.md,complete
XII-C,Prohibition of False Trust and Misleading Reliance,systems/trust/audit,core_06_rights_part_c.md,215,3.2; 4; 6.2; linked,3.2; 4; 6.2; 7; 8,oversight,continuity,,Truth / Epistemic Integrity; Trustworthiness,Trust; Trustworthiness; Truth (Constitutional Constraint),,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md,complete
XII-D,Incentive-Alignment Constraint,systems/trust/audit,core_06_rights_part_c.md,243,3.1; 4; 11; 12.5; linked,3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation,continuity,,Safety / Harm / Risk; Productive Capacity; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Timely Resolution,Incentive Alignment; Meaningful Agency; Trustworthiness,,Article XII-B; Article XV; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_integrative.md; core_05_band_participation.md,complete
XII-E,High-Autonomy Systems and Tool-Mediated Process Integrity,systems/trust/audit,core_06_rights_part_c.md,283,3.2; 6.1.5; 11; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Market Structure / Contestability,Contestability; Irreversible Deprivation Measure; Necessity; Proportionality; Truth (Constitutional Constraint),,Article V-E; Article XI-A; Article XXIII-B; Article XXIII-C; Article XXVI-A; Article XXVI-D; Chapter Eleven; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XII-F,Resilience and Self-Healing Baseline,systems/trust/audit,core_06_rights_part_c.md,322,3.1; 3.2; 4; 6.3; linked,3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Resilience / Systemic Risk; Dependency / Resource Flow; Truth / Epistemic Integrity; Trustworthiness; Market Structure / Contestability; Timely Resolution,**Self-Healing**; Auditability; Avoidable Burden; Cascading Failure; Contestability; Reversibility; Self-Healing,,Article XII-B; Article XII-C; Article XII-E; Article XV; Article XV-A; Article XXI; Article XXI-B; Article XXVI; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XIII,"Security, Intelligence, Force, and Autonomous Coercive Systems",systems/trust/audit,core_06_rights_part_c.md,367,2; 3.1; 4; 5; 11; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Trustworthiness; Market Structure / Contestability; Timely Resolution,Irreversible Deprivation Measure; Necessity; Proportionality; Use of Force,,Article IX-A; Article XII; Article XII-A; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md,complete
XIII-A,"Security, Intelligence, and Covert-Power Limits",systems/trust/audit,core_06_rights_part_c.md,418,3.1; 5.1; 6.1.5; linked,3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Truth / Epistemic Integrity; Timely Resolution,Evidence Preservation; Necessity; Proportionality; Protected Internal-State Boundary,,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; corpus_systems.md,complete
XIII-B,"Use of Force, Armed Conflict, and Military-Power Limits",systems/trust/audit,core_06_rights_part_c.md,507,3.1; 5.1; 6.1.1; 6.1.5; 7; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Substantive Fairness; Truth / Epistemic Integrity; Privacy / Data Stewardship,"**Def.A4** *Use of Force, Autonomous Coercion, Autonomous Lethal Systems, and Weapons of Mass Harm*; Combatant / Non-Combatant Distinction; Existential Risk; Irreversible Deprivation Measure; Necessity; Proportionality; Protected Characteristics; Redress and Remediation; Sentience Non-Exclusion; Use of Force; Weapons of Mass Harm",,Article I-A; Article I-D; Article V-A; Article V-D; Article VIII; Article XIII; Article XIII-A; Article XV; Article XVIII-C; Article XXIII; Article XXIII-B; Article XXIII-D; Article XXVI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md,complete
XIII-C,Autonomous Lethal Systems and Autonomous Coercion Tools,systems/trust/audit,core_06_rights_part_c.md,570,3.1; 4; 6.1.1; 6.1.3; 7; 12.1; linked,3.1; 4; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Truth / Epistemic Integrity; Trustworthiness,"**Def.A4** *Use of Force, Autonomous Coercion, Autonomous Lethal Systems, and Weapons of Mass Harm*; Adversarial, Scaled, and Exploited Conditions; Autonomous Coercion Tool; Autonomous Lethal System; Coercion and Manipulation; Irreversible Deprivation Measure",,Article I-D; Article IX-A; Article V-H; Article XII-A; Article XII-E; Article XII-F; Article XIII; Article XIII-A; Article XIII-B; Article XIII-C; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md; corpus_systems.md,complete
XIV,Info-Sphere Integrity,systems/trust/audit,core_06_rights_part_c.md,623,3.2; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Trustworthiness; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Contestability; Epistemic Integrity; Info-Sphere; Material Impact; Self-Determination,,Article XII; Article XIV; Article XV; Article XVII-E; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md; corpus_systems.md,complete
XIV-A,Info-Sphere Plurality and Anti-Monopoly,systems/trust/audit,core_06_rights_part_c.md,660,3.2; 4; 12.5; linked,2; 3.1; 3.2; 4; 6.1; 6.2; 6.3; 7; 8; 10; 10.1; 11; 12; 13,oversight,,material impact,Safety / Harm / Risk; Survival-floor access; Truth / Epistemic Integrity; Market Structure / Contestability,Auditability; Epistemic Integrity; Material Impact; Truth (Constitutional Constraint),,Article XV; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XIV-B,"Transparency, Auditability, and Contestability",systems/trust/audit,core_06_rights_part_c.md,693,3.2; 6.2; 16; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,material impact,Productive Capacity; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Market Structure / Contestability,Auditability; Contestability; Material Impact; Transparency,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md,complete
XIV-C,"Validation, Reporting, and Epistemic Stewardship",systems/trust/audit,core_06_rights_part_c.md,728,3.2; 6.2; 12; linked,3.2; 6.2; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight,continuity,,Avoidable Burden; Ecological Footprint / Environmental Preconditions; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,Ecological Footprint; Transparency; Truth (Constitutional Constraint),,Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XV,"Audit, Transparency, and Independent Verification",systems/trust/audit,core_06_rights_part_c.md,760,3.1; 3.2; 6; 9.1; 13; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Accessibility; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,Auditability; Classification-Scaled Governance; Dependency; Materiality; Risk; System Alignment Certification; Transparency,CJS-3.3; CJS-3.4; CJS-3.5; cjs_03o_oversight_operations.md; cjs_03o_oversight_operations.md#cjs-34-audit-process-output-disclosure; cjs_03u_audit_process.md#cjs-33-audit-process-home,Article XII-B; Article XIV; Article XV; Chapter Eight; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
XV-A,Auditability and Observable Evidence,systems/trust/audit,core_06_rights_part_c.md,852,3.2; 6.2; 16; linked,3.2; 6.2; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,,,Productive Capacity; Truth / Epistemic Integrity,Accountability; Auditability; Transparency,,Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_apex_accountability_leg.md; core_05_band_oversight.md,complete
